Aáhi taria
Austral lanternfish
Austral lightfish
Austral ray
Australian anchovy
Australian anemonefish
Australian angel shark
Australian angelfish
Australian angelshark
Australian arowana
Australian banded pipe
Australian bandfish
Australian barracuda
Australian barred tilefish
Australian bass
Australian blackspot catshark
Australian blackspotted catshark
Australian blacktip shark
Australian blenny
Australian bonito
Australian bonytongue
Australian brook lamprey
Australian bull ray
Australian butterfly ray
Australian carp-gudgeon
Australian codlet
Australian comb wrasse
Australian combtooth blenny
Australian cow-nose ray
Australian cownose ray
Australian cusk
Australian damsel
Australian dart
Australian darter dragonet
Australian devilray
Australian dragonfish
Australian emperor
Australian filamentous dragonet
Australian freshwater herring
Australian frogfish
Australian giant herring
Australian goatfish
Australian grayling
Australian gregory
Australian grey smooth-hound
Australian hairtail
Australian halibut
Australian halosaur
Australian herring
Australian lamprey
Australian long-nosed pipefish
Australian longfinned eel
Australian lungfish
Australian mado
Australian maori-wrasse
Australian marbled cat shark
Australian messmate pipefish
Australian moray
Australian mottled moray
Australian mullet
Australian neglected halfbeak
Australian numbfish
Australian perch
Australian pilchard
Australian pineapplefish
Australian pygmy goby
Australian pygmygoby
Australian rainbow
Australian rainbow wrasse
Australian rainbowfish
Australian remora
Australian reticulate swellshark
Australian river gizzard shad
Australian rockling
Australian ruff
Australian sailfin dragonet
Australian sailfin goby
Australian salmon
Australian sandpaperfish
Australian sawcheek scorpionfish
Australian sawtail cat shark
Australian sawtail catshark
Australian sculpin
Australian sea bream
Australian sea pike
Australian seabream
Australian seerfish
Australian sharpnose shark
Australian short tailed hairtail
Australian short-finned eel
Australian shortfinned eel
Australian shovelnose ray
Australian silver dory
Australian slatey
Australian slender-wrasse
Australian smelt
Australian smooth hound
Australian smooth pipefish
Australian snailfish
Australian spiny gurnard
Australian spiny pipehorse
Australian spotted catshark
Australian spotted handfish
Australian spotted herring
Australian spotted mackerel
Australian sprat
Australian squirrel-fish
Australian stinkfish
Australian striped velvetchin
Australian swamp eel
Australian swell shark
Australian thornback skate
Australian threadfin
Australian tilefish
Australian torpedo
Australian tusk
Australian unicorn-cod
Australian weasel shark
Australian whipray
Australian whiting
Autumn albacore
Autumn Windermere charr
Auvergne gudgeon
Auxillary seabream
Avocet
Avocet snipe eel
Axefish
Axelrod's clown blenny
Axelrod's combtooth-blenny
Axelrod's coralblenny
Axelrod's Moenkhausia
Axelrod's rainbowfish
Axelrod’s tube-snouted ghost knifefish
Axil grunt
Axil hogfish
Axil pigfish
Axil spot wrasse
Axillary bream
Axillary sea-bream
Axillary seabream
Axillary wrasse
Axillary-spot cardinalfish
Axilspot hogfish
Axilspot wrasse
Ayu
Ayu sweetfish
Ayumodoki
Azores chromis
Azores dogfish
Azores rockling
Azov kilka
Azov percarina
Azov Sea sprat
Azov shad
Azov tadpole goby
Azov-Black sea sturgeon
Aztec chub
Aztec cichlid
Aztec shiner
Azure damsel
Azure damselfish
Azure demoiselle
Azure parrotfish
Azure-spotted damsel
Azurespt damselfish
Azurio tuskfish
B-A tetra
B-liner
B-spot cardinalfish
Baardman
Babi wrasse
Babyface goby
Bacalao
Bacaleau
Baccalao
Baccale
Baccalo
Bach’s catshark
Back-swimming congo catfish
Back's grayling
Backspine cowfish
Backspot cardinalfish
Backspot flyingfish
Backwater butterfly ray
Backwater butterflyray
Backwater darter
Backwaters silverside
Bad lucks
Badger spiny basslet
Badis
Badis sp. (new) torpedo
Badluck snailfish
Baelama anchovy
Baensch's damsel
Baer pugolovka
Bagamoyo goby
Bagan anchovy
Bagangan
Bagarid catfish
Bagbelly cusk
Bagre de Muzquiz
Bagre de Rio Verde
Bagre de Yaqui
Bagre del Panuco
Bagre Lobo
Bagre sierra
Bagrid catfish
Bahama duckbill
Bahama gambusia
Bahama pupfish
Bahama sheepshead minnow
Bahama skate
Bahama skilletfish
Bahaman cavefish
Bahamas ghost shark
Bahamas saw shark
Bahamas sawshark
Bahamonde's sole
Bahia sprat
Baikal black grayling
Baikal graying
Baikal sturgeon
Baikal whitefish
Baikal yellowfin
